filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.063,4,-0.154898108357367,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.079,5,-0.133710358849231,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.095,6,-0.122263809811792,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.11,7,-0.100134491814104,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.126,8,-0.0676004429601041,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.142,9,-0.0472829576355091,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.158,10,-0.0168474351241221,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.173,11,0.0166529637562365,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.189,12,0.0449356033024466,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.205,13,0.0517034167619975,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.221,14,0.0712900795449605,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.237,15,0.0853699139244116,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.252,16,0.121086830585386,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.268,17,0.131241377880434,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.284,18,0.135893168889316,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.3,19,0.128880227385365,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.315,20,0.128880227385365,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.011,1,-0.0269827603398498,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.023,2,-0.024329623227469,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.034,3,-0.0337671939028963,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.045,4,-0.0503059670022902,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.056,5,-0.0618607261083358,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.068,6,-0.0621821838482294,1
